Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_TYPES_LOCATION,PSL_APPROX_LOCATION,true,MULTIPLE_CHOICE,Ubicación/Ubicación aproximada
PSL_DATA_TYPES_LOCATION,PSL_PRECISE_LOCATION,true,MULTIPLE_CHOICE,Ubicación/Ubicación precisa
PSL_DATA_TYPES_SEARCH_AND_BROWSING,PSL_WEB_BROWSING_HISTORY,,MULTIPLE_CHOICE,Navegación web/Historial de navegación en la Web
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_EMAILS,,MULTIPLE_CHOICE,Mensajes/Correos electrónicos
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_SMS_CALL_LOG,,MULTIPLE_CHOICE,Mensajes/SMS o MMS
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_OTHER_MESSAGES,,MULTIPLE_CHOICE,Mensajes/Otros mensajes desde la app
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_PHOTOS,true,MULTIPLE_CHOICE,Fotos y videos/Fotos
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_VIDEOS,true,MULTIPLE_CHOICE,Fotos y videos/Videos
PSL_DATA_TYPES_AUDIO,PSL_AUDIO,true,MULTIPLE_CHOICE,Archivos de audio/Grabaciones de voz o sonido
PSL_DATA_TYPES_AUDIO,PSL_MUSIC,,MULTIPLE_CHOICE,Archivos de audio/Archivos de música
PSL_DATA_TYPES_AUDIO,PSL_OTHER_AUDIO,,MULTIPLE_CHOICE,Archivos de audio/Otros archivos de audio
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_HEALTH,,MULTIPLE_CHOICE,Salud y fitness/Información sanitaria
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_FITNESS,,MULTIPLE_CHOICE,Salud y fitness/Información de estado físico
PSL_DATA_TYPES_CONTACTS,PSL_CONTACTS,,MULTIPLE_CHOICE,Contactos/Contactos
PSL_DATA_TYPES_CALENDAR,PSL_CALENDAR,,MULTIPLE_CHOICE,Calendario/Eventos del calendario
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_CRASH_LOGS,,MULTIPLE_CHOICE,Información de la app y rendimiento/Registros de fallas
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_PERFORMANCE_DIAGNOSTICS,,MULTIPLE_CHOICE,Información de la app y rendimiento/Diagnóstico
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_OTHER_PERFORMANCE,,MULTIPLE_CHOICE,Información de la app y rendimiento/Otros datos de rendimiento de la app
PSL_DATA_TYPES_FILES_AND_DOCS,PSL_FILES_AND_DOCS,,MULTIPLE_CHOICE,Archivos y documentos/Archivos y documentos
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_INTERACTION,true,MULTIPLE_CHOICE,Actividad en apps/Interacciones en la app
PSL_DATA_TYPES_APP_ACTIVITY,PSL_IN_APP_SEARCH_HISTORY,,MULTIPLE_CHOICE,Actividad en apps/Historial de búsqueda en la app
PSL_DATA_TYPES_APP_ACTIVITY,PSL_APPS_ON_DEVICE,,MULTIPLE_CHOICE,Actividad en apps/Apps instaladas
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_GENERATED_CONTENT,true,MULTIPLE_CHOICE,Actividad en apps/Otro contenido generado por usuarios
PSL_DATA_TYPES_APP_ACTIVITY,PSL_OTHER_APP_ACTIVITY,,MULTIPLE_CHOICE,Actividad en apps/Otras acciones
PSL_DATA_TYPES_IDENTIFIERS,PSL_DEVICE_ID,true,MULTIPLE_CHOICE,Dispositivo u otros IDs/Dispositivo u otros IDs
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,true,MULTIPLE_CHOICE,"Uso y manejo de datos (Nombre)/¿Estos datos se recopilan, se comparten o ambas?/Recopilados"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Uso y manejo de datos (Nombre)/¿Estos datos se recopilan, se comparten o ambas?/Compartidos"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_EPHEMERAL,,false,MAYBE_REQUIRED,Uso y manejo de datos (Nombre)/¿Estos datos se procesan de forma efímera?
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,true,SINGLE_CHOICE,Uso y manejo de datos (Nombre)/¿Estos datos son necesarios para tu app o los usuarios pueden decidir si se recopilan o no?/Los usuarios pueden decidir si los datos se recopilan o no
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,Uso y manejo de datos (Nombre)/¿Estos datos son necesarios para tu app o los usuarios pueden decidir si se recopilan o no?/La recopilación de datos es necesaria (los usuarios no pueden desactivar esta opción)
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Uso y manejo de datos (Nombre)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Funciones de la app
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Uso y manejo de datos (Nombre)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Estadísticas
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Uso y manejo de datos (Nombre)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Comunicaciones del desarrollador
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Uso y manejo de datos (Nombre)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Seguridad, cumplimiento y prevención de fraudes"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Uso y manejo de datos (Nombre)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Publicidad o marketing
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Uso y manejo de datos (Nombre)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Personalización
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,true,MULTIPLE_CHOICE,Uso y manejo de datos (Nombre)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Administración de la cuenta
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Uso y manejo de datos (Nombre)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Funciones de la app
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Uso y manejo de datos (Nombre)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Estadísticas
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Uso y manejo de datos (Nombre)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Comunicaciones del desarrollador
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Uso y manejo de datos (Nombre)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Seguridad, cumplimiento y prevención de fraudes"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Uso y manejo de datos (Nombre)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Publicidad o marketing
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Uso y manejo de datos (Nombre)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Personalización
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Uso y manejo de datos (Nombre)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Administración de la cuenta
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Uso y manejo de datos (Dirección de correo electrónico)/¿Estos datos se recopilan, se comparten o ambas?/Recopilados"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Uso y manejo de datos (Dirección de correo electrónico)/¿Estos datos se recopilan, se comparten o ambas?/Compartidos"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Uso y manejo de datos (Dirección de correo electrónico)/¿Estos datos se procesan de forma efímera?
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Estos datos son necesarios para tu app o los usuarios pueden decidir si se recopilan o no?/Los usuarios pueden decidir si los datos se recopilan o no
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Estos datos son necesarios para tu app o los usuarios pueden decidir si se recopilan o no?/La recopilación de datos es necesaria (los usuarios no pueden desactivar esta opción)
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Funciones de la app
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Estadísticas
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Comunicaciones del desarrollador
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Uso y manejo de datos (Dirección de correo electrónico)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Seguridad, cumplimiento y prevención de fraudes"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Publicidad o marketing
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Personalización
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Administración de la cuenta
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Funciones de la app
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Estadísticas
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Comunicaciones del desarrollador
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Uso y manejo de datos (Dirección de correo electrónico)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Seguridad, cumplimiento y prevención de fraudes"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Publicidad o marketing
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Personalización
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Uso y manejo de datos (Dirección de correo electrónico)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Administración de la cuenta
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Uso y manejo de datos (ID de usuario)/¿Estos datos se recopilan, se comparten o ambas?/Recopilados"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Uso y manejo de datos (ID de usuario)/¿Estos datos se recopilan, se comparten o ambas?/Compartidos"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Uso y manejo de datos (ID de usuario)/¿Estos datos se procesan de forma efímera?
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Estos datos son necesarios para tu app o los usuarios pueden decidir si se recopilan o no?/Los usuarios pueden decidir si los datos se recopilan o no
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Estos datos son necesarios para tu app o los usuarios pueden decidir si se recopilan o no?/La recopilación de datos es necesaria (los usuarios no pueden desactivar esta opción)
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Funciones de la app
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Estadísticas
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Comunicaciones del desarrollador
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Uso y manejo de datos (ID de usuario)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Seguridad, cumplimiento y prevención de fraudes"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Publicidad o marketing
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Personalización
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Por qué se recopilan los datos de los usuarios? Selecciona todas las opciones que correspondan./Administración de la cuenta
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Funciones de la app
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Estadísticas
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Comunicaciones del desarrollador
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Uso y manejo de datos (ID de usuario)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Seguridad, cumplimiento y prevención de fraudes"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Publicidad o marketing
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Personalización
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Uso y manejo de datos (ID de usuario)/¿Para qué se usan y comparten los datos de los usuarios? Selecciona todas las opciones que correspondan./Administración de la cuenta
PSL_DATA_USAGE_RESPONSES:PSL_ADDRESS:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Uso y manejo de datos (Dirección)/¿Estos datos se recopilan, se comparten o ambas?/Recopilados"
